nctid,description,label
NCT02166944,"The investigators will assess the ALSFR-s in ALS patients at start, 1, 3, 6 and 12 months and correlate the score to the neurological outcome of the patients with and without tamoxifen treatment at dose of 40mg daily for one year.||The study will be able to prove the investigators hypothesis: Tamoxifen, a protease and autophagy enhancer, has synergic effect with riluzole in ALS patients to slowing the progression of neurological dysfunction, and respiratory insufficiency.",ALS
NCT03444428,"The stiffness of the arterial wall is highly relevant to cardiovascular disease. Large elastic arteries and smaller muscular conduit arteries become stiffer with ageing, a process that is accelerated in the presence of cardiovascular disease. Arterial stiffness increases also with various disease states, including hypertension, diabetes mellitus, obesity, smoking, hypercholesterolemia, and kidney disease. Numerous techniques have been developed to measure arterial stiffness, either in single vessels or in entire muscular arterial trees. These techniques have increasingly been shown to improve stratification of cardiovascular risk and risk reduction beyond that provided by conventional risk factors. Furthermore, large artery stiffness, measured via carotid-femoral pulse wave velocity, independently predicts the risk of cardiovascular events in both clinical and community-based cohorts.||Abnormalities in arterial stiffness have been noted in disorders characterized by hypoxia with or without hypercapnia. These abnormalities could be driven by the risk factors for those conditions (e.g. cigarette smoke, obesity). In COPD, all studies are consistent showing a significant increase in arterial stiffness compared with ex-smokers without airway obstruction and nonsmoker healthy control subjects. The severity of airway obstruction is consistently related to arterial stiffness in COPD. Furthermore, airflow limitation arising from cigarette smoking, but not airflow limitation in non-smokers, was associated with arterial stiffness in a general population independently of established risk factors. The presence of OSA was associated with higher arterial stiffness indices independent of major confounders. In this context, OSA is associated with increased arterial stiffness independent of blood pressure.||Non invasive ventilation has been shown to reduce arterial stiffness in obstructive sleep apnea. In particular, there are studies that have examined the impact of continuous positive airway pressure (CPAP) on arterial stiffness (measured with pulse wave velocity) in OSA patients. Other studies have examined changes in arterial stiffness (measured with other than pulse wave velocity method) after treatment of OSA with CPAP. Furthermore, to the best of our knowledge no investigation exists on the impact of non invasive bilevel positive airway pressure ventilation on arterial stiffness in neuromuscular disease.||The Lane Fox Unit, the UK's largest weaning, rehabilitation and home ventilation unit, is treating neuromuscular patients. In neuromuscular disease, especially in MND, confounding factors as obesity, cigarette smoke, hypertension, and diabetes mellitus can be excluded. This gives the opportunity to determine whether hypoxemia and/or hypercapnia alone cause arterial stiffness. Furthermore, in this pilot study it will be investigated whether non invasive ventilation has any effect on arterial stiffness in MND patients.",ALS
NCT04454840,"This is a single-center, open-label clinical study to evaluate the safety and effectiveness of intravenous infusion of plasma from healthy young people for the treatment of amyotrophic lateral sclerosis. The main outcome indicators are the record of adverse reactions and the rate of change of amyotrophic lateral sclerosisFunctional Rating Scale score. The secondary outcome indicators include survival time-time to the end event (death, tracheotomy, continuous ventilator dependence), forced vital capacity (FVC), recognition Knowledge function evaluation (ECAS score).",ALS
NCT00818389,"Amyotrophic lateral sclerosis (ALS) is a rare, neurodegenerative disorder that results in progressive wasting and paralysis of voluntary muscles.||In this double blind, randomized, placebo-controlled clinical trial, researchers will evaluate the safety and effectiveness of the drug lithium given in combination with riluzole, a drug commonly used to treat ALS, compared to a placebo given in combination with riluzole.||Approximately 250 participants will be recruited from multiple centers, in the US and Canada, that belong to the Northeast ALS Consortium (NEALS) and the Canadian ALS Clinical Trials and Research Network (CALS). Enrollment will occur in stages. Initially 84 participants will be enrolled in the trial. An interim analysis using available data will occur after the 84th participant is enrolled. During this time, the Data and Safety Monitoring Board (DSMB) appointed by the National Institutes of Health (NIH) may decide to stop the trial for efficacy or futility reasons or to stop enrollment and request that follow-up continue with the 84 participants already enrolled in the trial, or the DSMB may decide to continue enrollment.||Participants will be randomized to one of two arms of the study. Arm one will receive lithium and riluzole. Arm two will receive riluzole and placebo (an inactive substance). All participants will be receiving riluzole. After screening and randomization, participants will be followed every 4 weeks for the first 12 weeks. Subsequent in-person visits will occur every 8 weeks with a final visit at week 52. Between in-person visits, telephone interviews will take place every 4 weeks to administer the Amyotropic Lateral Sclerosis Functional Rating Scale-Revised (ALSFRS-R) questionnaire. A follow-up telephone interview will occur at week 56 (off study medication) to review adverse events. The primary outcome measure is disease progression as measured by the ALSFRS-R questionnaire. Participants randomized to placebo whose disease progresses will be crossed over to lithium for the remaining period of the study (up to 52 weeks total).||Duration of the study for participants is 56 weeks which includes 52 weeks of treatment and a followup telephone interview at week 56.",ALS
NCT00324454,"Cramps in MNDs are believed to occur as a result of high-frequency burst firing of alpha motor neurons. Levetiracetam inhibits burst firing in epileptic rat hippocampus. Levetiracetam has never been tested against cramps in humans; however, it has helped another condition believed to result from burst firing of a motor nerve: hemi-facial spasm.||The mechanisms underlying spasticity in MNDs likely involve imbalance between excitatory and inhibitory influences on the alpha motor neurons. Levetiracetam may modulate these influences in a number of ways, including reducing the effects of zinc and beta-carbolines in GABA and glycine receptors. Levetiracetam reduces phasic (but not tonic) spasticity in patients with multiple-sclerosis.||Levetiracetam may have neuroprotective properties. In a model of cerebral ischemia induced by occlusion of the rat internal carotid artery, pre-treatment with levetiracetam reduced infarct size in a dose-dependent manner. In rats injected with kainic acid to induce calcium overload, oxidative stress and neurotoxicity, pretreatment with levetiracetam offset kainic acid's effects. The mechanisms for these effects may relate to levetiracetam's ability to influence calcium currents, or its ability to increase the release of growth factors from astrocytes, mechanisms that would be relevant in MNDs. Levetiracetam's ability to inhibit histone deacetylase may also help slow MNDs progression.||OBJECTIVES: 1. Assess the safety and tolerability of levetiracetam over 9 months in patients with MNDs. 2. Determine whether treatment with levetiracetam is associated with a reduction in cramps, spasticity or motor neuron disease progression.||METHODS:Open-label, Phase 2 trial of 20 adult patients with MNDs (ALS, PLS or PMA) at Duke University ALS Clinic. Eligible patients have cramps with average severity 50/100 points, are able to provide informed consent, have normal renal functions and are on a stable riluzole dose. Exclusions include pregnancy, unstable mental illness, dementia, drug abuse or non-compliance. The first 3 months of the study are a baseline period. Over the remaining 9 months, patients take levetiracetam at increasing doses up to 3000mg per day. Outcome measures include adverse events, tolerability,cramp-pain-severity score, cramp-frequency score, modified Ashworth Spasticity Score, Penn Spasm Score, FVC, ALSFRS-R and MMT.",ALS
NCT04518540,"In this proposed study, the investigators will evaluate the safety and efficacy of Lipoic acid in treatment of ALS. The study will recruit 150 ALS patients, then these patients will be randomized to lipoic acid group or control group (75 patients per arm) for 6 courses for about 5 months. Clinical efficacy and safety assessment will be done at screen/baseline, 3th course and 6th course. The specific aims are to compare lipoic acid versus placebo on: (1) Lipoic acid could improve the motor function, delay the disease progression and extend survival time in patients with ALS, measured by the ALSFRS-R Scale, ROADS Scale, upper motor neuron Scale, Muscle strength Scale and Electromyography; (2) Lung function will be collected to prove the hypothesis lipoic acid may help respiratory function. (3) Safety index including blood and urine routine, liver and kidney function, coagulation index will be recorded.",ALS
NCT01950910,"Amyotrophic lateral sclerosis (ALS) is a motor neuron disease characterized by progressive degeneration of motor neurons, muscle atrophy and paralysis. There is no reliable early diagnostic test for ALS making identification of the disease difficult at its earliest stages. Early detection is critical to the initiation of early neuroprotective therapy. By the time a reliable diagnosis can be made, substantial damage to motor neurons and muscle has already occurred. The purpose of the current project is to establish a bank of blood samples (serum and protein/RNA/DNA from blood cells) and CSF for use in the development of an early diagnostic test for ALS and to better understand the progression of this disease.||Samples from patients that have a confirmed or unknown diagnosis of motor neuron disease will be examined. ALS and suspected neuromuscular disease (control) samples will be collected for comparison. Investigators will examine various biochemical, metabolic and genetic markers from these samples in hopes of finding differences in the expression between control subjects and ALS patients and how these biomarkers vary during disease progression. Participants will be asked to complete an optional questionnaire to collect data including medication and vitamin use and medical and disease history. This data will be linked to the patient's samples; however, all samples will be deidentified and coded to avoid the possibility of linking results to the patient. Results will not be stored in the patient's medical record.",ALS
NCT03705390,"Amyotrophic Lateral Sclerosis (ALS) belongs to a wider group of disorders known as motor neuron diseases and mainly involves the nerve cells (neurons) in the body. Voluntary muscles produce movements like chewing, walking and talking. ALS is caused by gradual deterioration (degeneration) and death of these motor neurons. The disease is progressive, meaning the symptoms get worse over time and most people with ALS die from respiratory failure, usually within 3 to 5 years from when the symptoms first appear. Currently there is no cure for ALS and no effective treatment to halt or reverse the progression of the disease (National Institute of Neurological Disorders and Stroke, Fact Sheet).||The aim of this study is to explore the safety and acceptability of a type of low molecular weight dextran sulfate called ILB.||The investigators will invite 15 patients to take part from a single centre in the UK. Participants will be closely monitored for any side-effects; for changes in ALS symptoms and on quality of life during and after the study.||The trial period for patient participation is maximum 56 weeks (12 months), ILB injections will be administered once weekly for up to a maximum of 48 weeks.",ALS
NCT03293394,"Amyotrophic Lateral Sclerosis (ALS) is a motor neuron disease, which is a group of neurological disorders that selectively affect motor neurons, the cells that control voluntary muscles of the body. The disorder causes muscle weakness and atrophy throughout the body due to the degeneration of the upper and lower motor neurons. Current drugs approved for ALS treatment only modestly slow disease progression.||Transcranial direct current stimulation (tDCS) is a non-invasive technique, which has been demonstrated to modulate cerebral excitability in several neurodegenerative disorders and modulate intracortical connectivity measures.||In this randomized, double-blind, sham-controlled study, the investigators will evaluate whether a two-weeks' treatment with bilateral motor cortex anodal tDCS and spinal cathodal tDCS can improve symptoms in patients with amyotrophic lateral sclerosis and modulate intracortical connectivity, at short and long term.||Subjects will be randomized in two groups, one receiving a 10 day (5 days/week for 2 weeks) treatment with anodal bilateral motor cortex tDCS and cathodal spinal tDCS and the other receiving sham stimulation with identical parameters. After the intervention, patients will be reassessed with a clinical and neurophysiological evaluation at 2 weeks, 2 months and 6 months after treatment. Furthermore, blood neurofilaments will be measured at each time point.||Clinical evaluation will include the ALSFRS-R, ALSAQ-40, CBI, EQ-5D-5L, muscle strength evaluated with the MRC scale.||Neurophysiological evaluation will include measures of intracortical connectivity, evaluated with transcranial magnetic stimulation (TMS) as short interval intracortical inhibition (SICI-ICF), long interval intracortical inhibition (LICI), short interval intracortical facilitation (SICF).",ALS
NCT03536962,"Since April 2010 a quarterly follow-up is available for patients with ALS at Geneva University Hospitals. It takes place in the outpatient unit of the Department of Neurology, and includes interventions by the multidisciplinary team of the "" Center for Amyotrophic Lateral Sclerosis and related diseases "". This new tracking method can help improving quality of life of patients and their families by adapting medical care, proposing communication aids, facilitating access to specialized examinations and anticipating pulmonary, nutritional and neurologic complications. Moreover, it speeds up administrative procedures, improves the flow of information between medical teams inside and outside the hospital and it allows and encourages discussion about advanced directives.||Since June 2012, the multidisciplinary follow-up is monitored through a Cohort study that was approved by the ethical committee (NAC 11-062R). We collect clinical examination findings, anthropometric evaluation, blood analyses, pulmonary function tests, respiratory muscle strength, arterial blood gases, nocturnal oximetry, and evaluation by occupational therapists and by physiotherapists on a quarterly basis. Nerve conduction studies are done at the beginning of the follow-up to identify the degree and extent of loss of upper and lower motoneurons in ALS and to help guiding the diagnosis. MRI and analysis of cerebrospinal fluid are also acquired at the beginning of the follow-up in order to rule out other diagnoses which can mimic ALS. Definite, probable or possible ALS is defined according to the Revised El Escorial and Awaji criteria [16-17]. Patients are referred to a genetic counselor who helps making informed decisions regarding genetic issues. The data collected are inserted into the Secu-Trial database, which is managed by an assistant provided by the Clinical Research Center.",ALS
NCT01530438,"Objectives : the investigators aim to study the clinical profile and magnitude of cognitive disturbances, measure brain metabolism and assess cerebral atrophy in patients with ALS. The relationships between cognitive, metabolic and anatomical data will be determined by the correlation method. In addition, pathological studies will be carried out in deceased patients having given their consent in advance, in order to quantify the neuronal loss and UBIs.||Methods : the investigators plan to recruit 60 patients with ALS, 10 patients with ALS/FTD (the diagnosis of dementia will rest on clinical data and formal neuropsychological testing) and 20 normal control subjects. The ALS patients will be divided into 2 subsets on the basis of a preliminary neuropsychological work-up, according to the presence or absence of ""subclinical cognitive impairment"" as defined by abnormal scoring on tests not meeting the criteria for dementia. In a second testing session carried out at the same time, a comprehensive assessment of memory, behaviour and emotional changes will be done. All subjects will then undergo morphological magnetic resonance imaging (MRI), resting-state functional MRI and 18-fluorodeoxyglucose positron emission tomography (18FDG-PET). Whenever possible, a second testing session will be carried out 9 to 12 months later in order to quantify the cognitive deterioration, if any, and to find early predictors of the evolution towards dementia. In deceased patients, the location and extent of neuronal loss will be determined, as well as the location and number of UBIs.||Results and clinical relevance : this study is intended to improve our knowledge of the clinical phenotype of ALS, and particularly to learn more about the extent of cognitive, behavioural and emotional changes in this disease. This could in turn shed some further light on the relationships between ALS and FTD.",ALS
NCT03508453,"This will be a placebo-controlled, double-blind, parallel-group comparison.||Fifty patients with rapidly progressive ALS will be randomised to receive one of the following regimens:||IC14 4 mg/kg given intravenously twice weekly for 12 weeks; or|Identical-appearing placebo given intravenously twice weekly for 12 weeks. There will be an interim safety review by an independent Data Safety Monitoring Board after the initial 20 subjects have completed 4 weeks and 8 weeks of treatment. Study observation will continue until 12 weeks after the last dose of study drug.||The primary endpoint is:||• Treatment-related change in disease biomarker profiles [e.g., neurofilaments (Nf), urinary p75 neurotrophin receptor (p75NTR), cytokines, and soluble CD14].||The secondary endpoints are:||Safety, tolerability and lack of immunogenicity of IC14.|Treatment-related change in the Revised Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS-R).|Treatment-related change in respiratory function by seated forced vital capacity (FVC) parameters.|Treatment-related change in inspiratory muscle strength by sniff nasal pressure (SNP) test.|Treatment-related change in quality of life by the ALS Specific Quality of Life-Revised (ALSSQOL-R) score.|Treatment-related change in cognitive function by Edinburgh Cognitive and Behavioural Assessment (ECAS) score.|Treatment-related changes stratified by disease severity and prognostic indicators.|Peak serum IC14 concentration following administration of the initial dose and peak serum concentration following a course of treatment.|Area under the serum IC14 concentration versus time curve (AUC) following administration of the initial dose and following a course of treatment.",ALS
NCT02058732,Investigators will study cervical spinal cord chemical concentrations and cervical spinal cord and brain microstructure in amyotrophic lateral sclerosis(ALS) patients who have had a stem cell transplant compared to ALS patients who have not had a stem cell transplant. Investigators intend to determine cervical spinal cord chemical concentrations and cervical spinal cord and brain microstructure in amyotrophic lateral sclerosis(ALS) patients who have had a stem cell transplant and compare these to corresponding measures in amyotrophic lateral sclerosis(ALS) patients who have not had a stem cell transplant.,ALS
